S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
179,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(14.2),17.2,9.3,Andhra Pradesh
180,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,92.1,92.3,na,Andhra Pradesh
181,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),98.6,95.7,96.5,91.5,Andhra Pradesh
182,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),41.8,53.7,50.4,38.3,Andhra Pradesh
183,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),1.0,1.4,1.3,3.7,Andhra Pradesh
184,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),98.3,95.2,96.1,92.1,Andhra Pradesh
185,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),50.5,39.3,42.4,40.1,Andhra Pradesh
186,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),66.1,61.4,63.0,57.0,Andhra Pradesh
187,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),30.9,25.2,26.6,25.5,Andhra Pradesh
188,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.3,74.7,73.0,65.3,Andhra Pradesh
189,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),89.1,87.5,88.0,79.9,Andhra Pradesh
190,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),92.4,95.6,94.6,97.3,Andhra Pradesh
191,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),70.6,76.9,75.0,72.3,Andhra Pradesh
192,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.8,89.9,88.4,89.0,Andhra Pradesh
193,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.7,88.6,87.1,89.4,Andhra Pradesh
194,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.1,31.3,30.0,na,Andhra Pradesh
195,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),72.0,77.0,75.5,na,Andhra Pradesh
196,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.0,86.4,85.3,68.8,Andhra Pradesh
197,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),81.7,79.7,80.3,79.3,Andhra Pradesh
198,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),86.4,97.4,94.2,91.6,Andhra Pradesh
199,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),11.5,1.3,4.3,8.4,Andhra Pradesh
200,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2,7.6,7.2,6.6,Andhra Pradesh
201,70.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%) ,(64.2),61.9,62.5,47.6,Andhra Pradesh
202,71.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(32.8),44.7,41.8,30.1,Andhra Pradesh
203,72.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.6),73.3,74.3,72.7,Andhra Pradesh
204,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.0,2.5,2.4,0.5,Andhra Pradesh
205,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),69.2,70.6,70.2,77.3,Andhra Pradesh
206,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),51.6,52.2,52.0,40.0,Andhra Pradesh
207,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),61.4,70.4,68.0,70.2,Andhra Pradesh
208,77.,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(67.3),45.4,50.8,56.1,Andhra Pradesh
209,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),15.2,5.8,8.2,6.5,Andhra Pradesh
210,79.,Child Feeding Practices and Nutritional Status of Children,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),19.5,7.8,12.1,11.9,Andhra Pradesh
211,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),16.7,6.3,9.3,7.6,Andhra Pradesh
212,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),23.1,34.2,31.2,31.4,Andhra Pradesh
213,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),17.6,15.5,16.1,17.2,Andhra Pradesh
214,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),6.4,5.8,6.0,4.5,Andhra Pradesh
215,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),25.1,31.4,29.6,31.9,Andhra Pradesh
216,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),3.0,2.6,2.7,1.2,Andhra Pradesh
217,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),11.9,16.2,14.8,17.6,Andhra Pradesh
218,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),15.0,17.2,16.5,14.8,Andhra Pradesh
219,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),44.4,32.6,36.3,33.2,Andhra Pradesh
220,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),37.7,28.0,31.1,33.5,Andhra Pradesh
221,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),52.7,47.2,48.9,na,Andhra Pradesh
222,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),53.8,52.6,53.0,na,Andhra Pradesh
223,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),58.7,65.0,63.2,58.6,Andhra Pradesh
224,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),57.8,59.5,59.0,60.2,Andhra Pradesh
225,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),56.2,52.7,53.7,52.9,Andhra Pradesh
226,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),57.8,59.3,58.8,60.0,Andhra Pradesh
227,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),62.3,59.1,60.1,61.1,Andhra Pradesh
228,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),13.8,17.3,16.2,27.0,Andhra Pradesh
229,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),12.8,21.4,18.7,29.3,Andhra Pradesh
230,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,7.8,7.0,7.3,na,Andhra Pradesh
231,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,13.2,9.2,10.4,na,Andhra Pradesh
232,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,23.2,17.9,19.5,na,Andhra Pradesh
233,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,9.2,8.1,8.4,na,Andhra Pradesh
234,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,13.7,10.4,11.4,na,Andhra Pradesh
235,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,24.9,20.5,21.8,na,Andhra Pradesh
236,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,14.4,13.2,13.6,na,Andhra Pradesh
237,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,6.2,5.8,5.9,na,Andhra Pradesh
238,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,27.5,24.3,25.3,na,Andhra Pradesh
239,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,19.2,16.9,17.6,na,Andhra Pradesh
240,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,7.4,6.9,7.1,na,Andhra Pradesh
241,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,32.2,27.6,29.0,na,Andhra Pradesh
242,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,4.3,4.8,4.7,na,Andhra Pradesh
243,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,0.7,0.8,0.8,na,Andhra Pradesh
244,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,8.3,6.8,7.3,na,Andhra Pradesh
245,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,7.3,5.9,6.3,na,Andhra Pradesh
246,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),29.1,22.6,24.6,29.0,Andhra Pradesh
247,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),47.1,34.7,38.6,55.5,Andhra Pradesh
248,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),70.8,59.7,63.0,57.5,Andhra Pradesh
249,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),88.4,80.0,82.6,83.4,Andhra Pradesh
250,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),83.4,84.3,84.1,79.9,Andhra Pradesh
251,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),36.5,44.5,42.1,42.1,Andhra Pradesh
252,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),41.4,50.6,47.8,44.7,Andhra Pradesh
253,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),86.7,79.6,81.8,66.3,Andhra Pradesh
254,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),67.4,40.9,48.9,36.2,Andhra Pradesh
255,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.6,82.5,85.1,67.5,Andhra Pradesh
256,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),28.8,30.5,30.0,43.4,Andhra Pradesh
257,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),3.5,3.9,3.8,4.9,Andhra Pradesh
258,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),3.8,3.7,3.7,6.8,Andhra Pradesh
259,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),1.9,4.7,3.8,na,Andhra Pradesh
260,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),15.8,25.6,22.6,na,Andhra Pradesh
261,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.3,0.6,0.5,na,Andhra Pradesh
262,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),20.5,24.5,23.3,na,Andhra Pradesh
263,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),87.9,,78.2,75.0,Assam
264,2.,Population and Household Profile,Population below age 15 years (%),21.3,,28.3,30.3,Assam
265,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",982,,1012,993,Assam
266,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",916,,964,929,Assam
267,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),97.0,,96.3,94.2,Assam
268,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),80.5,,65.5,na,Assam
269,7.,Population and Household Profile,Population living in households with electricity (%),99.0,,92.6,78.3,Assam
270,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),92.3,,86.0,84.2,Assam
271,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),69.7,,68.6,49.0,Assam
272,10.,Population and Household Profile,Households using clean fuel for cooking (%),85.5,,42.1,25.1,Assam
273,11.,Population and Household Profile,Households using iodized salt (%),99.6,,98.8,99.6,Assam
274,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),50.1,,60.0,10.4,Assam
275,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),4.1,,4.4,na,Assam
276,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),87.5,,77.2,na,Assam
