S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
119,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),93.0,95.5,94.5,92.6,Andaman & Nicobar Islands
120,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),34.7,17.1,24.6,21.0,Andaman & Nicobar Islands
121,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),10.9,19.4,15.8,29.7,Andaman & Nicobar Islands
122,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),88.5,89.8,89.2,81.8,Andaman & Nicobar Islands
123,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),80.8,80.9,80.8,66.9,Andaman & Nicobar Islands
124,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.5,99.1,98.9,90.3,Andaman & Nicobar Islands
125,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),23.2,13.2,17.2,18.4,Andaman & Nicobar Islands
126,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),(0.0),0.5,0.3,3.2,Andaman & Nicobar Islands
127,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.4,2.2,1.8,2.9,Andaman & Nicobar Islands
128,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),15.0,41.1,31.3,na,Andaman & Nicobar Islands
129,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),44.7,66.4,58.7,na,Andaman & Nicobar Islands
130,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),0.7,7.6,5.0,na,Andaman & Nicobar Islands
131,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),33.8,41.9,39.1,na,Andaman & Nicobar Islands
132,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),75.5,61.2,65.6,62.0,Andhra Pradesh
133,2.,Population and Household Profile,Population below age 15 years (%),21.3,22.6,22.2,23.7,Andhra Pradesh
134,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)","1,024","1,055",1045,1021,Andhra Pradesh
135,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",877,957,934,914,Andhra Pradesh
136,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),93.8,91.6,92.2,82.7,Andhra Pradesh
137,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),89.4,76.6,80.2,na,Andhra Pradesh
138,7.,Population and Household Profile,Population living in households with electricity (%),99.6,99.4,99.5,99.2,Andhra Pradesh
139,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),99.4,95.4,96.7,95.6,Andhra Pradesh
140,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),89.1,72.1,77.3,54.4,Andhra Pradesh
141,10.,Population and Household Profile,Households using clean fuel for cooking (%),96.6,77.9,83.6,62.0,Andhra Pradesh
142,11.,Population and Household Profile,Households using iodized salt (%),89.3,80.4,83.1,81.6,Andhra Pradesh
143,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),62.2,73.7,70.2,74.6,Andhra Pradesh
144,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),10.2,9.8,9.9,na,Andhra Pradesh
145,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),79.0,63.8,68.6,na,Andhra Pradesh
146,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),86.4,76.3,79.5,na,Andhra Pradesh
147,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),51.2,34.3,39.6,34.3,Andhra Pradesh
